market,week_index,week_start,sessions,fragrance_orders,fragrance_revenue,conversion_rate,average_order_value,revenue_per_session,paid_media_index,promo_intensity,new_visitor_share,pilot_market,post_launch,digital_feature_available,weeks_from_launch
Australia,62,2026-03-16,62983,1529,122573.29,0.02427639204229713,80.17,1.9461,94.85,0.2292,0.3909,0,0,0,-3
Australia,63,2026-03-23,63833,1445,117389.94,0.022637193927905627,81.24,1.839,101.35,0.2236,0.385,0,0,0,-2
Australia,64,2026-03-30,67939,1697,135238.69,0.024978289347797288,79.69,1.9906,97.9,0.2231,0.3957,0,0,0,-1
Australia,65,2026-04-06,68184,1680,139539.12,0.024639211545230553,83.06,2.0465,107.8,0.26,0.3867,0,1,0,0
Australia,66,2026-04-13,67615,1601,126636.99,0.02367817791910079,79.1,1.8729,100.24,0.1999,0.4022,0,1,0,1
Australia,67,2026-04-20,67986,1717,143003.95,0.02525519959991763,83.29,2.1034,104.12,0.2243,0.3623,0,1,0,2
Australia,68,2026-04-27,66549,1569,124659.27,0.023576612721453366,79.45,1.8732,110.99,0.2208,0.3934,0,1,0,3
Australia,69,2026-05-04,64080,1549,120794.59,0.0241729088639201,77.98,1.8851,110.1,0.1976,0.369,0,1,0,4
Australia,70,2026-05-11,66522,1460,127862.53,0.021947626349177716,87.58,1.9221,100.07,0.1764,0.3826,0,1,0,5
Australia,71,2026-05-18,66383,1777,137929.61,0.026768901676634076,77.62,2.0778,112.7,0.252,0.4062,0,1,0,6
Australia,72,2026-05-25,67712,1597,135249.69,0.023585184310018905,84.69,1.9974,109.85,0.1875,0.3473,0,1,0,7
Australia,73,2026-06-01,66156,1797,144187.52,0.027163069109377835,80.24,2.1795,99.67,0.2223,0.3759,0,1,0,8
Australia,74,2026-06-08,73824,1831,146692.26,0.024802232336367577,80.12,1.9871,92.56,0.2318,0.3796,0,1,0,9
Australia,75,2026-06-15,68346,1853,144420.83,0.027112047522898194,77.94,2.1131,104.68,0.2302,0.3587,0,1,0,10
Australia,76,2026-06-22,66428,1651,143301.22,0.024853977238513878,86.8,2.1572,105.88,0.2284,0.3704,0,1,0,11
Australia,77,2026-06-29,65807,1668,142696.98,0.025346847599799414,85.55,2.1684,100.24,0.2044,0.3528,0,1,0,12
Australia,78,2026-07-06,66860,1702,141718.49,0.025456177086449296,83.27,2.1196,101.44,0.2012,0.3591,0,1,0,13
Australia,79,2026-07-13,63276,1735,139880.8,0.02741955875845502,80.62,2.2106,97.0,0.1814,0.3725,0,1,0,14
Australia,80,2026-07-20,67756,1715,136815.15,0.02531141153550977,79.78,2.0192,89.15,0.2057,0.3515,0,1,0,15
Australia,81,2026-07-27,68401,1719,141580.72,0.025131211531995146,82.36,2.0699,98.41,0.1861,0.3713,0,1,0,16
Australia,82,2026-08-03,67314,1706,150583.98,0.02534391062780402,88.27,2.237,87.63,0.1629,0.3417,0,1,0,17
Australia,83,2026-08-10,69890,2060,171537.88,0.029474889111460865,83.27,2.4544,95.06,0.2093,0.3641,0,1,0,18
Australia,84,2026-08-17,69789,1772,143514.14,0.02539082090300764,80.99,2.0564,93.67,0.1788,0.3449,0,1,0,19
Australia,85,2026-08-24,67453,1804,167525.87,0.026744548055683215,92.86,2.4836,86.79,0.1824,0.3485,0,1,0,20
Australia,86,2026-08-31,66236,1830,161706.35,0.02762847998067516,88.36,2.4414,91.94,0.1801,0.3178,0,1,0,21
Australia,87,2026-09-07,71471,1935,165849.46,0.027073918092652964,85.71,2.3205,84.06,0.1726,0.3406,0,1,0,22
Australia,88,2026-09-14,67155,1875,159375.58,0.02792048246593701,85.0,2.3732,84.66,0.1734,0.327,0,1,0,23
Australia,89,2026-09-21,66879,1897,168317.0,0.028364658562478506,88.73,2.5167,93.96,0.1675,0.3574,0,1,0,24
Australia,90,2026-09-28,73037,1958,165601.11,0.026808330024508126,84.58,2.2674,88.38,0.1837,0.3207,0,1,0,25
Australia,91,2026-10-05,67340,1842,152935.77,0.027353727353727354,83.03,2.2711,84.18,0.1747,0.3445,0,1,0,26
Australia,92,2026-10-12,69981,2001,170820.14,0.028593475371886654,85.37,2.441,90.57,0.1926,0.3424,0,1,0,27
Australia,93,2026-10-19,68380,1894,161201.38,0.027698157355952033,85.11,2.3574,84.39,0.1791,0.3653,0,1,0,28
Australia,94,2026-10-26,69055,1900,159510.9,0.027514300195496343,83.95,2.3099,91.9,0.2058,0.3323,0,1,0,29
Australia,95,2026-11-02,69870,1821,153322.79,0.026062687848862173,84.2,2.1944,95.78,0.1969,0.3732,0,1,0,30
Australia,96,2026-11-09,66870,1801,153992.02,0.02693285479288171,85.5,2.3029,94.83,0.2244,0.3441,0,1,0,31
Australia,97,2026-11-16,75458,2129,188283.23,0.02821437090831986,88.44,2.4952,102.3,0.188,0.3192,0,1,0,32
Australia,98,2026-11-23,66334,1763,151686.12,0.026577622335453913,86.04,2.2867,97.04,0.2374,0.3341,0,1,0,33
Australia,99,2026-11-30,71440,1808,144017.82,0.025307950727883537,79.66,2.0159,97.2,0.2528,0.3263,0,1,0,34
Australia,100,2026-12-07,70407,2020,166079.94,0.028690329086596505,82.22,2.3589,104.08,0.2572,0.3445,0,1,0,35
Australia,101,2026-12-14,66193,1702,150181.47,0.025712688652878703,88.24,2.2688,102.44,0.1962,0.3356,0,1,0,36
Australia,102,2026-12-21,70037,2002,166806.82,0.02858489084341134,83.32,2.3817,108.19,0.2133,0.3576,0,1,0,37
Australia,103,2026-12-28,72097,2071,166485.9,0.028725189675021152,80.39,2.3092,113.69,0.2236,0.373,0,1,0,38
Canada,0,2025-01-06,87304,2687,208742.27,0.03077751305782095,77.69,2.391,99.41,0.178,0.4153,0,0,0,-65
Canada,1,2025-01-13,91348,3007,223123.33,0.03291807155055393,74.2,2.4426,100.6,0.2122,0.3998,0,0,0,-64
Canada,2,2025-01-20,88245,2705,200315.37,0.0306532948042382,74.05,2.27,97.09,0.2202,0.4073,0,0,0,-63
Canada,3,2025-01-27,92967,2862,224737.27,0.030785117299686984,78.52,2.4174,103.47,0.2091,0.4051,0,0,0,-62
Canada,4,2025-02-03,91897,2808,220093.64,0.030555948507568254,78.38,2.395,92.89,0.2082,0.4052,0,0,0,-61
Canada,5,2025-02-10,88491,2547,200198.31,0.028782588059802692,78.6,2.2624,92.09,0.2244,0.4169,0,0,0,-60
Canada,6,2025-02-17,91638,2716,206817.95,0.02963835963246688,76.15,2.2569,106.84,0.1926,0.4327,0,0,0,-59
Canada,7,2025-02-24,93921,3080,241134.88,0.03279351795658053,78.29,2.5674,107.78,0.2315,0.4253,0,0,0,-58
Canada,8,2025-03-03,92853,3040,235608.09,0.032739922242684676,77.5,2.5374,104.69,0.1955,0.4322,0,0,0,-57
Canada,9,2025-03-10,93893,3216,246030.17,0.03425175465689668,76.5,2.6203,111.77,0.2149,0.4038,0,0,0,-56
Canada,10,2025-03-17,94098,3307,256544.38,0.03514421135412017,77.58,2.7264,100.09,0.2429,0.4208,0,0,0,-55
Canada,11,2025-03-24,95579,3165,244767.13,0.03311396854957679,77.34,2.5609,102.19,0.1706,0.4108,0,0,0,-54
Canada,12,2025-03-31,92653,3084,243521.44,0.03328548454987966,78.96,2.6283,119.53,0.1936,0.4394,0,0,0,-53
Canada,13,2025-04-07,93163,3033,235464.3,0.03255584298487597,77.63,2.5274,104.54,0.2358,0.4131,0,0,0,-52
Canada,14,2025-04-14,95159,2857,221657.69,0.030023434462320957,77.58,2.3293,109.73,0.1978,0.4098,0,0,0,-51
Canada,15,2025-04-21,98826,3212,247305.25,0.032501568413170624,76.99,2.5024,105.02,0.1994,0.4079,0,0,0,-50
Canada,16,2025-04-28,96926,3060,239528.28,0.03157047644594846,78.28,2.4712,106.8,0.181,0.4058,0,0,0,-49
Canada,17,2025-05-05,93672,3302,250312.74,0.03525066188402084,75.81,2.6722,114.07,0.214,0.4209,0,0,0,-48
Canada,18,2025-05-12,93351,3068,235489.93,0.032865207657122045,76.76,2.5226,105.95,0.1926,0.4241,0,0,0,-47
Canada,19,2025-05-19,95694,3386,267130.9,0.03538361861767718,78.89,2.7915,104.67,0.1975,0.4163,0,0,0,-46
Canada,20,2025-05-26,94746,3167,246480.14,0.033426213243830875,77.83,2.6015,107.3,0.2414,0.4344,0,0,0,-45
Canada,21,2025-06-02,94392,2819,220924.43,0.029864819052462074,78.37,2.3405,102.71,0.2035,0.4126,0,0,0,-44
Canada,22,2025-06-09,91678,2830,222196.69,0.030868910752852374,78.51,2.4237,99.64,0.2195,0.3979,0,0,0,-43
Canada,23,2025-06-16,94814,2797,217828.84,0.029499862889446705,77.88,2.2974,101.7,0.179,0.3844,0,0,0,-42
Canada,24,2025-06-23,91825,2980,231652.0,0.032453035665668394,77.74,2.5228,100.12,0.1819,0.4021,0,0,0,-41
Canada,25,2025-06-30,92635,2791,216619.85,0.030129000917579748,77.61,2.3384,103.58,0.1834,0.385,0,0,0,-40
Canada,26,2025-07-07,91832,2821,218983.03,0.030719139297848246,77.63,2.3846,97.68,0.2249,0.4028,0,0,0,-39
Canada,27,2025-07-14,93629,2920,228759.83,0.031186918582917687,78.34,2.4433,92.18,0.1966,0.4154,0,0,0,-38
Canada,28,2025-07-21,92682,2640,202579.94,0.028484495371269503,76.73,2.1858,89.09,0.1563,0.3736,0,0,0,-37
Canada,29,2025-07-28,92908,2798,216827.45,0.030115813492917726,77.49,2.3338,88.24,0.1734,0.3887,0,0,0,-36
Canada,30,2025-08-04,90817,2546,196032.81,0.02803439884603103,77.0,2.1585,103.3,0.165,0.4033,0,0,0,-35
Canada,31,2025-08-11,89166,2545,197669.47,0.028542269474911963,77.67,2.2169,91.06,0.1627,0.4035,0,0,0,-34
Canada,32,2025-08-18,92255,2792,215270.3,0.03026394233374885,77.1,2.3334,95.38,0.194,0.3699,0,0,0,-33
Canada,33,2025-08-25,92862,2576,197066.9,0.027740087441579978,76.5,2.1221,90.13,0.1806,0.3917,0,0,0,-32
Canada,34,2025-09-01,93529,3085,237906.26,0.03298442194399598,77.12,2.5437,96.13,0.1876,0.3908,0,0,0,-31
Canada,35,2025-09-08,91661,2602,202640.21,0.028387209391125996,77.88,2.2108,88.28,0.156,0.4211,0,0,0,-30
Canada,36,2025-09-15,88560,2579,200249.67,0.029121499548328815,77.65,2.2612,87.96,0.1599,0.3674,0,0,0,-29
Canada,37,2025-09-22,91052,2379,189650.08,0.026127926898914907,79.72,2.0829,87.73,0.1853,0.3737,0,0,0,-28
Canada,38,2025-09-29,91236,2600,200862.53,0.028497522907624185,77.25,2.2016,92.34,0.1596,0.3801,0,0,0,-27
Canada,39,2025-10-06,91683,2585,197637.7,0.028194976167882812,76.46,2.1557,96.83,0.1856,0.3686,0,0,0,-26
Canada,40,2025-10-13,92489,2641,203794.6,0.02855474705100066,77.17,2.2034,89.17,0.1709,0.3679,0,0,0,-25
Canada,41,2025-10-20,92711,2666,203823.58,0.028756026792937192,76.45,2.1985,100.51,0.1607,0.3848,0,0,0,-24
Canada,42,2025-10-27,92493,2577,203210.34,0.02786156790243586,78.86,2.197,90.98,0.1794,0.3892,0,0,0,-23
Canada,43,2025-11-03,91358,2799,217816.13,0.03063771098316513,77.82,2.3842,100.71,0.1825,0.3929,0,0,0,-22
Canada,44,2025-11-10,95361,2600,198199.67,0.027264814756556663,76.23,2.0784,95.02,0.2096,0.3926,0,0,0,-21
Canada,45,2025-11-17,96671,3156,250016.56,0.03264681238427243,79.22,2.5863,91.48,0.2099,0.3869,0,0,0,-20
Canada,46,2025-11-24,102129,3164,236105.12,0.030980426715232694,74.62,2.3118,102.72,0.255,0.3851,0,0,0,-19
Canada,47,2025-12-01,103583,3513,281332.11,0.03391483158433334,80.08,2.716,107.29,0.2405,0.3975,0,0,0,-18
Canada,48,2025-12-08,103467,3567,279316.38,0.03447476006842762,78.31,2.6996,106.08,0.2564,0.4076,0,0,0,-17
Canada,49,2025-12-15,106353,3966,306924.59,0.03729090857803729,77.39,2.8859,119.68,0.249,0.3839,0,0,0,-16
Canada,50,2025-12-22,104213,3573,275209.61,0.03428554978745454,77.02,2.6408,107.37,0.2158,0.4241,0,0,0,-15
Canada,51,2025-12-29,101696,3485,278301.16,0.034268801132787914,79.86,2.7366,109.43,0.193,0.4003,0,0,0,-14
Canada,52,2026-01-05,95375,2893,230275.89,0.030332896461336828,79.6,2.4144,89.69,0.1939,0.4225,0,0,0,-13
Canada,53,2026-01-12,94689,2982,234789.21,0.031492570414726105,78.74,2.4796,95.13,0.2018,0.4298,0,0,0,-12
Canada,54,2026-01-19,92564,3056,239034.93,0.033014995030465406,78.22,2.5824,94.38,0.1964,0.4032,0,0,0,-11
Canada,55,2026-01-26,95564,3079,238799.2,0.03221924574107404,77.56,2.4988,95.21,0.2098,0.4234,0,0,0,-10
Canada,56,2026-02-02,101949,3249,252903.25,0.031868875614277724,77.84,2.4807,101.55,0.1945,0.4354,0,0,0,-9
Canada,57,2026-02-09,101663,3221,256570.02,0.03168310988265151,79.66,2.5237,97.79,0.2175,0.4215,0,0,0,-8
Canada,58,2026-02-16,99505,3154,246987.82,0.031696899653283754,78.31,2.4822,108.66,0.1798,0.4127,0,0,0,-7
Canada,59,2026-02-23,97195,3322,260341.03,0.03417871289675395,78.37,2.6785,105.25,0.2176,0.419,0,0,0,-6
Canada,60,2026-03-02,99135,3292,252935.5,0.0332072426489131,76.83,2.5514,99.94,0.1912,0.4015,0,0,0,-5
Canada,61,2026-03-09,100160,3313,270343.91,0.0330770766773163,81.6,2.6991,106.4,0.2163,0.4006,0,0,0,-4
Canada,62,2026-03-16,99998,3541,274043.53,0.03541070821416428,77.39,2.7405,98.69,0.219,0.4023,0,0,0,-3
Canada,63,2026-03-23,101016,3414,262694.44,0.03379662627702542,76.95,2.6005,107.54,0.1992,0.3767,0,0,0,-2
Canada,64,2026-03-30,99930,3222,257237.1,0.0322425697988592,79.84,2.5742,104.37,0.1895,0.4245,0,0,0,-1
Canada,65,2026-04-06,102823,3313,267661.38,0.03222041761084582,80.79,2.6031,101.02,0.1669,0.4406,0,1,0,0
Canada,66,2026-04-13,100050,3440,271704.29,0.03438280859570215,78.98,2.7157,109.13,0.2265,0.4035,0,1,0,1
Canada,67,2026-04-20,100280,3343,258769.83,0.0333366573593937,77.41,2.5805,98.78,0.1801,0.4219,0,1,0,2
Canada,68,2026-04-27,100814,3455,268782.33,0.03427103378499018,77.8,2.6661,107.23,0.2114,0.4209,0,1,0,3
Canada,69,2026-05-04,98136,3484,272846.69,0.03550175266976441,78.31,2.7803,98.14,0.1901,0.3998,0,1,0,4
Canada,70,2026-05-11,99056,3369,271344.61,0.03401106444839283,80.54,2.7393,100.66,0.1834,0.4483,0,1,0,5
Canada,71,2026-05-18,97373,3236,263146.2,0.03323303174391258,81.32,2.7025,104.19,0.1743,0.3835,0,1,0,6
Canada,72,2026-05-25,100025,3233,253161.13,0.03232191952011997,78.31,2.531,110.43,0.2004,0.3916,0,1,0,7
Canada,73,2026-06-01,100565,3419,266074.61,0.03399791179833938,77.82,2.6458,101.61,0.2221,0.4103,0,1,0,8
Canada,74,2026-06-08,98836,3231,249947.03,0.032690517625156824,77.36,2.5289,102.28,0.2228,0.4157,0,1,0,9
Canada,75,2026-06-15,101191,3448,271784.58,0.034074176557203704,78.82,2.6859,104.01,0.1965,0.4123,0,1,0,10
Canada,76,2026-06-22,98445,3188,246844.78,0.03238356442683732,77.43,2.5074,96.4,0.1896,0.4003,0,1,0,11
Canada,77,2026-06-29,101151,3411,265035.76,0.03372186137556722,77.7,2.6202,99.22,0.2133,0.3997,0,1,0,12
Canada,78,2026-07-06,97308,3291,255706.43,0.03382044641756073,77.7,2.6278,98.35,0.2043,0.4298,0,1,0,13
Canada,79,2026-07-13,99226,3051,238553.38,0.03074798943825207,78.19,2.4041,99.19,0.1889,0.3885,0,1,0,14
Canada,80,2026-07-20,94397,3056,233019.68,0.03237391018782376,76.25,2.4685,87.33,0.2063,0.3897,0,1,0,15
Canada,81,2026-07-27,95111,2934,233086.17,0.030848166878699623,79.44,2.4507,90.15,0.1743,0.3646,0,1,0,16
Canada,82,2026-08-03,99894,3219,248491.86,0.032224157607063486,77.2,2.4876,93.1,0.205,0.417,0,1,0,17
Canada,83,2026-08-10,98201,2966,225688.86,0.030203358417938718,76.09,2.2982,95.2,0.2061,0.4168,0,1,0,18
Canada,84,2026-08-17,96029,2775,211752.25,0.028897520540670005,76.31,2.2051,87.9,0.1905,0.3744,0,1,0,19
Canada,85,2026-08-24,99992,3256,251902.44,0.03256260500840067,77.37,2.5192,96.56,0.1746,0.3999,0,1,0,20
Canada,86,2026-08-31,95388,2899,233961.22,0.030391663521616975,80.7,2.4527,85.07,0.1646,0.3858,0,1,0,21
Canada,87,2026-09-07,94325,2684,212482.68,0.02845481049562682,79.17,2.2527,95.84,0.1669,0.3777,0,1,0,22
Canada,88,2026-09-14,95965,2880,226070.79,0.03001094148908456,78.5,2.3558,94.7,0.1606,0.3668,0,1,0,23
Canada,89,2026-09-21,94530,2847,222233.48,0.030117423040304667,78.06,2.3509,92.79,0.1587,0.3824,0,1,0,24
Canada,90,2026-09-28,93431,2849,221724.74,0.030493091158180902,77.83,2.3731,87.93,0.1618,0.379,0,1,0,25
Canada,91,2026-10-05,95799,2828,215715.89,0.029520141128821804,76.28,2.2518,83.54,0.1737,0.3665,0,1,0,26
Canada,92,2026-10-12,93422,2763,215535.38,0.029575474727580226,78.01,2.3071,81.18,0.1748,0.3795,0,1,0,27
Canada,93,2026-10-19,99010,3044,230337.49,0.030744369255630743,75.67,2.3264,88.32,0.171,0.4002,0,1,0,28
Canada,94,2026-10-26,100206,2831,221339.2,0.02825180128934395,78.18,2.2088,91.34,0.1701,0.3976,0,1,0,29
Canada,95,2026-11-02,102897,3223,248139.54,0.031322584720642976,76.99,2.4115,99.75,0.1838,0.3888,0,1,0,30
Canada,96,2026-11-09,103971,3603,279252.63,0.0346538938742534,77.51,2.6859,96.18,0.231,0.3666,0,1,0,31
Canada,97,2026-11-16,102918,3393,260016.06,0.03296799393692065,76.63,2.5264,104.0,0.2136,0.3989,0,1,0,32
Canada,98,2026-11-23,104852,3585,281136.34,0.03419105024224622,78.42,2.6813,104.74,0.2209,0.3849,0,1,0,33
Canada,99,2026-11-30,108036,3882,314186.75,0.03593246695545929,80.93,2.9082,111.55,0.2069,0.3831,0,1,0,34
Canada,100,2026-12-07,109440,3790,295420.51,0.03463084795321637,77.95,2.6994,114.59,0.2775,0.4048,0,1,0,35
Canada,101,2026-12-14,108516,3829,306304.58,0.03528511924508828,80.0,2.8227,102.62,0.2053,0.416,0,1,0,36
Canada,102,2026-12-21,106551,3921,308858.31,0.03679927921840245,78.77,2.8987,111.12,0.2422,0.4162,0,1,0,37
Canada,103,2026-12-28,107755,3896,308936.63,0.03615609484478678,79.3,2.867,106.43,0.2522,0.3908,0,1,0,38
France,0,2025-01-06,155486,5053,353258.91,0.03249810272307475,69.91,2.272,98.63,0.184,0.4426,0,0,0,-65
France,1,2025-01-13,166164,4841,369487.46,0.02913386774511928,76.32,2.2236,101.23,0.2056,0.4414,0,0,0,-64
France,2,2025-01-20,144585,4214,325326.73,0.02914548535463568,77.2,2.2501,95.66,0.2421,0.4346,0,0,0,-63
France,3,2025-01-27,141946,4300,351991.38,0.0302932100939794,81.86,2.4798,108.42,0.2271,0.4334,0,0,0,-62
France,4,2025-02-03,167126,4956,384064.89,0.02965427282409679,77.49,2.2981,101.08,0.2134,0.4699,0,0,0,-61
France,5,2025-02-10,146593,4121,328238.68,0.02811184708683225,79.65,2.2391,93.18,0.2011,0.4552,0,0,0,-60
